"","Year","Month","Day","TSU","EQ","Name","Location","Country","Latitude","Longitude","Elevation","Type","Status","Time","VEI","Agent","DEATHS","DEATHS_DESCRIPTION","MISSING","MISSING_DESCRIPTION","INJURIES","INJURIES_DESCRIPTION","DAMAGE_MILLIONS_DOLLARS","DAMAGE_DESCRIPTION","HOUSES_DESTROYED","HOUSES_DESTROYED_DESCRIPTION","TOTAL_DEATHS","TOTAL_DEATHS_DESCRIPTION","TOTAL_MISSING","TOTAL_MISSING_DESCRIPTION","TOTAL_INJURIES","TOTAL_INJURIES_DESCRIPTION","TOTAL_DAMAGE_MILLIONS_DOLLARS","TOTAL_DAMAGE_DESCRIPTION","TOTAL_HOUSES_DESTROYED","TOTAL_HOUSES_DESTROYED_DESCRIPTION"
"1",-4360,NA,NA,"","","Macauley Island","Kermadec Is","New Zealand",-30.2,-178.47,238,"Caldera","Holocene","U",6,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",-4350,NA,NA,"","","Kikai","Ryukyu Is","Japan",30.78,130.28,717,"Caldera","Historical","D1",7,"P",NA,3,NA,NA,NA,NA,NA,3,NA,3,NA,3,NA,NA,NA,NA,NA,3,NA,3
"3",-4050,NA,NA,"","","Masaya","Nicaragua","Nicaragua",11.984,-86.161,635,"Caldera","Historical","D1",6,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",-4000,NA,NA,"","","Pago","New Britain-SW Pac","Papua New Guinea",-5.58,150.52,742,"Caldera","Historical","D2",6,"T",NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA
"5",-3580,NA,NA,"","","Taal","Luzon-Philippines","Philippines",14.002,120.993,400,"Stratovolcano","Historical","D1",6,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",-3550,NA,NA,"","","Pinatubo","Luzon-Philippines","Philippines",15.13,120.35,1486,"Stratovolcano","Historical","D1",6,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",-2420,NA,NA,"","","Vesuvius","Italy","Italy",40.821,14.426,1281,"Complex volcano","Historical","D2",5,"P,T",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",-2040,NA,NA,"","","Long Island","New Guinea-NE of","Papua New Guinea",-5.358,147.12,1280,"Complex volcano","Historical","D1",6,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",-1900,NA,NA,"","","Black Peak","Alaska Peninsula","United States",56.53,-158.8,1032,"Stratovolcano","Radiocarbon","D7",6,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",-1890,NA,NA,"","","Hudson, Cerro","Chile-S","Chile",-45.9,-72.97,1905,"Stratovolcano","Historical","D1",6,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11",-1860,NA,NA,"","","St. Helens","US-Washington","United States",46.2,-122.18,2549,"Stratovolcano","Historical","D1",6,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",-1750,NA,NA,"","","Veniaminof","Alaska Peninsula","United States",56.17,-159.38,2507,"Stratovolcano","Historical","D1",6,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13",-1645,NA,NA,"","","Aniakchak","Alaska Peninsula","United States",56.88,-158.17,1341,"Caldera","Historical","D2",6,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14",-1610,NA,NA,"TSU","EQ","Santorini","Greece","Greece",36.404,25.396,329,"Shield volcano","Historical","D2",7,"W",NA,3,NA,NA,NA,NA,NA,3,NA,NA,NA,3,NA,NA,NA,NA,NA,3,NA,NA
"15",-1550,NA,NA,"TSU","","Redoubt","Alaska-SW","United States",60.48,-152.75,3108,"Stratovolcano","Historical","D1",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",-1460,NA,NA,"","","Taupo","New Zealand","New Zealand",-38.82,176,760,"Caldera","Radiocarbon","D6",6,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",-1370,NA,NA,"","","Pago","New Britain-SW Pac","Papua New Guinea",-5.58,150.52,742,"Caldera","Historical","D2",6,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18",-1050,NA,NA,"","","Pinatubo","Luzon-Philippines","Philippines",15.13,120.35,1486,"Stratovolcano","Historical","D1",6,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19",-1010,NA,NA,"","","Tungurahua","Ecuador","Ecuador",-1.467,-78.442,5023,"Stratovolcano","Historical","D1",5,"",NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA
"20",-455,NA,NA,"","","Cotopaxi","Ecuador","Ecuador",-0.677,-78.436,5911,"Stratovolcano","Historical","D2",4,"M",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"21",-250,NA,NA,"","","Raoul Island","Kermadec Is","New Zealand",-29.27,-177.92,516,"Stratovolcano","Historical","D1",6,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22",-197,NA,NA,"TSU","","Santorini","Greece","Greece",36.404,25.396,329,"Shield volcano","Historical","D2",3,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23",-150,NA,NA,"","","St. Andrew Strait","Admiralty Is-SW Paci","Papua New Guinea",-2.38,147.35,270,"Complex volcano","Historical","D2",NA,"",NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA
"24",-141,NA,NA,"","","Etna","Italy","Italy",37.734,15.004,3350,"Stratovolcano","Historical","D1",NA,"",40,1,NA,NA,NA,NA,NA,NA,NA,NA,40,1,NA,NA,NA,NA,NA,NA,NA,NA
