"STATION","NAME","DATE","PRCP","TMAX","TMIN","WSF5"
"USW00093225","SACRAMENTO METROPOLITAN AIRPORT, CA US","2010-01-01","0.05","56","44","18.1"
"USW00093225","SACRAMENTO METROPOLITAN AIRPORT, CA US","2010-01-02","0.01","58","43","18.1"
"USW00093225","SACRAMENTO METROPOLITAN AIRPORT, CA US","2010-01-03","0.01","50","37","10.1"
"USW00093225","SACRAMENTO METROPOLITAN AIRPORT, CA US","2010-01-04","0.00","53","37","12.1"
"USW00093225","SACRAMENTO METROPOLITAN AIRPORT, CA US","2010-01-05","0.01","47","40","10.1"
"USW00093225","SACRAMENTO METROPOLITAN AIRPORT, CA US","2010-01-06","0.00","47","44","12.1"
"USW00093225","SACRAMENTO METROPOLITAN AIRPORT, CA US","2010-01-07","0.00","46","43","17.0"
"USW00093225","SACRAMENTO METROPOLITAN AIRPORT, CA US","2010-01-08","0.05","50","39","15.0"
"USW00093225","SACRAMENTO METROPOLITAN AIRPORT, CA US","2010-01-09","0.00","48","41","14.1"
"USW00093225","SACRAMENTO METROPOLITAN AIRPORT, CA US","2010-01-10","0.01","48","44","21.0"
"USW00093225","SACRAMENTO METROPOLITAN AIRPORT, CA US","2010-01-11","0.00","48","41","13.0"
"USW00093225","SACRAMENTO METROPOLITAN AIRPORT, CA US","2010-01-12","0.25","62","41","23.9"
"USW00093225","SACRAMENTO METROPOLITAN AIRPORT, CA US","2010-01-13","0.48","62","42","25.1"
"USW00093225","SACRAMENTO METROPOLITAN AIRPORT, CA US","2010-01-14","0.01","58","38","16.1"
"USW00093225","SACRAMENTO METROPOLITAN AIRPORT, CA US","2010-01-15","0.01","53","38","14.1"
"USW00093225","SACRAMENTO METROPOLITAN AIRPORT, CA US","2010-01-16","0.01","51","38","13.0"
"USW00093225","SACRAMENTO METROPOLITAN AIRPORT, CA US","2010-01-17","0.21","53","48","32.0"
"USW00093225","SACRAMENTO METROPOLITAN AIRPORT, CA US","2010-01-18","0.47","57","50","51.0"
"USW00093225","SACRAMENTO METROPOLITAN AIRPORT, CA US","2010-01-19","1.39","53","43","51.0"
"USW00093225","SACRAMENTO METROPOLITAN AIRPORT, CA US","2010-01-20","1.39","52","47","59.9"
"USW00093225","SACRAMENTO METROPOLITAN AIRPORT, CA US","2010-01-21","0.59","49","43","35.1"
"USW00093225","SACRAMENTO METROPOLITAN AIRPORT, CA US","2010-01-22","0.02","47","40","23.0"
